,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,which_of_these_sentiment_scores_does_the_above_image_fit_into_best,which_of_these_sentiment_scores_does_the_above_image_fit_into_best:confidence,imageurl,which_of_these_sentiment_scores_does_the_above_image_fit_into_best_gold,which_of_these_sentiment_scores_does_the_above_image_fit_into_best_gold_reason
0,694550568,True,golden,47,,Positive,0.6395,http://farm1.staticflickr.com/20/71235476_310366f395.jpg,"Highly positive
Positive","He is smiling. => happy, joy"
1,694550569,True,golden,36,,Positive,0.6458,http://farm4.staticflickr.com/3096/2584485524_836ef16edd.jpg,"Highly positive
Positive",A beautiful scenery. => serenity
2,694550570,True,golden,35,,Negative,0.8420000000000001,http://farm3.staticflickr.com/2880/11733997835_f6634eb488.jpg,"Negative
Highly negative","They look serious. => sadness, fear"
3,694550571,True,golden,41,,Positive,0.7216,http://farm4.staticflickr.com/3022/2286937150_d93e3faa9b.jpg,"Highly positive
Positive","A cute puppy. => happy, joy"
4,694550572,True,golden,46,,Positive,0.8801,http://farm1.staticflickr.com/163/357381033_d0176b7f37.jpg,"Highly positive
Positive","She looks fun. => fun, joy, happy"
5,694550573,True,golden,39,,Highly negative,0.7589,http://farm6.staticflickr.com/5082/5220342939_9551b396ce.jpg,"Negative
Highly negative","terror, horror"
6,694550574,True,golden,39,,Negative,0.7198,http://farm6.staticflickr.com/5254/5428519574_9c45a2a101.jpg,"Negative
Highly negative",It looks sad. => sadness
7,694550575,True,golden,42,,Negative,0.7978,http://farm7.staticflickr.com/6015/5957116248_c35de8d06e.jpg,"Negative
Highly negative","It looks terrible. => terror, sadness"
8,694550576,True,golden,43,,Positive,0.6448,http://farm7.staticflickr.com/6022/5984542514_b03eb42afe.jpg,"Highly positive
Positive",Calm and beautiful scenery. => serenity
9,694550577,True,golden,38,,Positive,0.9197,http://farm8.staticflickr.com/7284/8741489133_a6b202b99e.jpg,"Highly positive
Positive","He looks fun. => happy, joy, interest"
11,694550579,True,golden,37,,Negative,0.7591,http://farm3.staticflickr.com/2254/2404089966_3df66e54f6.jpg,"Negative
Highly negative",She looks sad. => sad
12,694550580,True,golden,46,,Positive,0.7192,http://farm6.staticflickr.com/5208/5334167439_6ced868815.jpg,"Highly positive
Positive","They look happy. => happy, joy"
13,694550581,True,golden,38,,Highly negative,0.8413,http://farm6.staticflickr.com/5104/5614575315_1ed642b984.jpg,"Negative
Highly negative",It looks terrible. => terror
14,694550582,True,golden,35,,Negative,0.7637,http://farm5.staticflickr.com/4042/4302080964_664b4110f8.jpg,"Negative
Highly negative",She looks sad. => sadness
15,694550583,True,golden,40,,Positive,0.5604,http://farm8.staticflickr.com/7347/11246475533_2b63f6f9ee.jpg,"Highly positive
Positive","He looks happy. => happy, joy"
16,694550584,True,golden,33,,Positive,0.6831,http://farm3.staticflickr.com/2485/3809144425_5dc5e4c7d3.jpg,"Highly positive
Positive",Beautiful sky. =>serenity
17,694550585,True,golden,38,,Positive,0.8809999999999999,http://farm8.staticflickr.com/7230/7002167496_88f82a9789.jpg,"Highly positive
Positive","It looks delicious. => happy, joy"
19,694550587,True,golden,33,,Positive,0.679,http://farm3.staticflickr.com/2813/13298983984_b1ca51046a.jpg,"Positive
Highly positive",
20,694550588,True,golden,43,,Positive,0.6011,http://farm3.staticflickr.com/2454/3952860820_499a3b8ef3.jpg,"Positive
Highly positive",
21,694550589,True,golden,44,,Positive,0.7194,http://farm5.staticflickr.com/4006/4699191535_5e92a12e06.jpg,"Positive
Highly positive",
22,694550590,True,golden,39,,Positive,0.6811,http://farm5.staticflickr.com/4149/5005670557_7bf23ae76a.jpg,"Positive
Highly positive",
23,694550591,True,golden,52,,Positive,0.8002,http://farm1.staticflickr.com/128/411345849_5316fd0a4e.jpg,"Positive
Highly positive",
24,694550592,True,golden,51,,Highly positive,0.521,http://farm6.staticflickr.com/5027/5879783357_a953041e6b.jpg,"Positive
Highly positive",
25,694550593,True,golden,38,,Positive,0.6382,http://farm4.staticflickr.com/3034/2634328128_cc6e5eb6a8.jpg,"Positive
Highly positive",
26,694550594,True,golden,43,,Positive,0.6374,http://farm8.staticflickr.com/7155/6567091075_f6e3148a42.jpg,"Positive
Highly positive",
27,694550595,True,golden,52,,Positive,0.5609,http://farm7.staticflickr.com/6007/5917802117_3f270fbbe6.jpg,"Positive
Highly positive",
28,694550596,True,golden,40,,Highly negative,0.6823,http://farm2.staticflickr.com/1346/5141227803_dc88f098fe.jpg,"Negative
Highly negative",
29,694550597,True,golden,47,,Highly positive,0.5211,http://farm3.staticflickr.com/2758/4111116342_cc93a8e243.jpg,"Positive
Highly positive",
30,694550598,True,golden,37,,Highly negative,0.7607,http://farm5.staticflickr.com/4037/4375868814_eae3e5177a.jpg,"Highly negative
Negative",
31,694550599,True,golden,49,,Highly positive,0.5212,http://farm1.staticflickr.com/49/157202754_bf1696894d.jpg,"Positive
Highly positive",
34,694550602,True,golden,37,,Highly negative,0.8777,http://farm7.staticflickr.com/6074/6090674603_265ec4d43d.jpg,"Negative
Highly negative",
36,694550604,True,golden,38,,Positive,0.6773,http://farm4.staticflickr.com/3157/2645971210_a7928781a1.jpg,"Positive
Highly positive",
39,694550607,True,golden,34,,Negative,0.6795,http://farm5.staticflickr.com/4048/4303516393_5dbc54760c.jpg,"Highly negative
Negative",
40,694550608,True,golden,51,,Highly positive,0.7616,http://farm8.staticflickr.com/7104/7184272763_ca86b299a5.jpg,"Positive
Highly positive",
41,694550609,True,golden,43,,Positive,0.7993,http://farm9.staticflickr.com/8518/8426038432_5994fd32cb.jpg,"Positive
Highly positive",
42,694550610,True,golden,48,,Positive,0.7582,http://farm1.staticflickr.com/7/6578913_1eeb2a0e42.jpg,"Positive
Highly positive",
43,694550611,True,golden,41,,Highly negative,0.6006,http://farm5.staticflickr.com/4054/4375918138_ca2795c7bf.jpg,"Highly negative
Negative",
44,694550612,True,golden,41,,Negative,0.5619,http://farm3.staticflickr.com/2141/2214863007_b5e7cb1dd4.jpg,"Highly negative
Negative",
45,694550613,True,golden,42,,Positive,0.6394,http://farm4.staticflickr.com/3213/2839227375_80fdf97fe5.jpg,"Positive
Highly positive",
46,694550614,True,golden,46,,Highly negative,0.8009999999999999,http://farm8.staticflickr.com/7167/6741704837_9cb5477203.jpg,"Highly negative
Negative",
47,694550615,True,golden,39,,Positive,0.8003,http://farm4.staticflickr.com/3632/3616780046_05d100b9f4.jpg,"Positive
Highly positive",
48,694550616,True,golden,45,,Highly positive,0.5615,http://farm3.staticflickr.com/2827/10806793814_73f19083a9.jpg,"Positive
Highly positive",
49,694550618,True,golden,38,,Highly negative,0.4804,http://farm7.staticflickr.com/6197/6140612827_53836b8966.jpg,"Negative
Highly negative",
50,694550619,True,golden,45,,Positive,0.5618,http://farm6.staticflickr.com/5466/8978705167_58cc98801e.jpg,"Positive
Highly positive",
51,694550620,True,golden,36,,Highly negative,0.5642,http://farm9.staticflickr.com/8049/8112706341_afa0cf229e.jpg,"Highly negative
Negative",
52,694550622,True,golden,42,,Positive,0.9195,http://farm6.staticflickr.com/5005/5334787592_5bbb39f724.jpg,"Positive
Highly positive",
53,694550623,True,golden,44,,Negative,0.7606,http://farm6.staticflickr.com/5521/9252806555_9ec8fc47cb.jpg,"Negative
Highly negative",
54,694550624,True,golden,48,,Positive,0.6857,http://farm4.staticflickr.com/3198/2808115966_cd3d28b12f.jpg,"Positive
Highly positive",
56,694550626,True,golden,41,,Positive,0.7607,http://farm1.staticflickr.com/54/145449724_996b864427.jpg,"Positive
Highly positive",
57,694550627,True,golden,35,,Negative,0.5197,http://farm7.staticflickr.com/6107/6325280533_6489228759.jpg,"Negative
Highly negative",
58,694550628,True,golden,45,,Negative,0.5999,http://farm2.staticflickr.com/1386/1350683214_af7d1ff907.jpg,"Highly negative
Negative",
59,694550629,True,golden,44,,Positive,0.7196,http://farm3.staticflickr.com/2381/2130366863_c2a780990e.jpg,"Positive
Highly positive",
60,694550630,True,golden,40,,Positive,0.8793,http://farm9.staticflickr.com/8281/7640092432_87969b08c5.jpg,"Positive
Highly positive",
61,694550631,True,golden,54,,Negative,0.8802,http://farm8.staticflickr.com/7204/6772823326_a9f0862c6a.jpg,"Highly negative
Negative",
62,694550632,True,golden,37,,Positive,0.638,http://farm6.staticflickr.com/5161/5346997123_3d07ac9fa5.jpg,"Positive
Highly positive",
63,694550634,True,golden,54,,Positive,0.7202,http://farm3.staticflickr.com/2778/5789754626_9c83fa6ee5.jpg,"Positive
Highly positive",
64,694550635,True,golden,45,,Positive,0.6409,http://farm8.staticflickr.com/7045/6935098684_670192d29d.jpg,"Positive
Highly positive",
65,694550636,True,golden,39,,Positive,0.7589,http://farm4.staticflickr.com/3160/2634335486_7d23429eb9.jpg,"Positive
Highly positive",
